                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.41094,                 0.4304,                0.26918,                 0.8241,                0.99966,                0.99228,                  0.995,                0.94159,                0.99966,                0.99228,                  0.995,                0.85104,                0.41815,                0.47874,                0.25175,                0.80943,              0.0010894,              0.0010894,              0.0010894
                     73,                0.41821,                0.43607,                0.27188,                0.81776,                0.99449,                      1,                  0.995,                0.93762,                0.99449,                      1,                  0.995,                0.82744,                0.44258,                0.51009,                0.25718,                0.81357,              0.0010811,              0.0010811,              0.0010811
                     74,                   0.41,                0.41773,                0.26363,                0.82328,                0.99598,                      1,                  0.995,                0.92355,                0.99598,                      1,                  0.995,                0.81841,                0.41939,                0.49051,                0.25513,                0.81088,              0.0010729,              0.0010729,              0.0010729
                     75,                0.41015,                0.42921,                0.26113,                0.82181,                0.99819,                      1,                  0.995,                0.94387,                0.99819,                      1,                  0.995,                0.83708,                0.40653,                0.51323,                0.24992,                0.80607,              0.0010646,              0.0010646,              0.0010646
                     76,                0.41221,                0.42513,                0.26401,                0.82432,                0.99751,                      1,                  0.995,                0.94083,                0.99751,                      1,                  0.995,                0.81486,                0.43646,                0.50527,                0.24937,                0.81042,              0.0010564,              0.0010564,              0.0010564
                     77,                0.41251,                0.43913,                  0.262,                0.82162,                0.99488,                      1,                  0.995,                0.94808,                0.99488,                      1,                  0.995,                0.83123,                0.40064,                0.47812,                0.24387,                0.80183,              0.0010481,              0.0010481,              0.0010481
                     78,                0.42138,                0.42573,                0.26445,                0.82616,                0.99673,                      1,                  0.995,                0.93255,                0.99673,                      1,                  0.995,                 0.8095,                0.41679,                0.48722,                0.25292,                 0.8108,              0.0010399,              0.0010399,              0.0010399
                     79,                0.42436,                0.43037,                0.27393,                0.82807,                 0.9962,                      1,                  0.995,                0.94525,                 0.9962,                      1,                  0.995,                0.81554,                0.41794,                0.53463,                0.25067,                0.81294,              0.0010316,              0.0010316,              0.0010316
                     80,                0.41985,                0.43781,                0.26922,                0.82658,                0.96016,                      1,                  0.995,                0.93911,                0.96016,                      1,                  0.995,                0.80872,                0.42385,                0.50838,                0.26385,                0.81248,              0.0010234,              0.0010234,              0.0010234
                     81,                0.41089,                 0.4295,                0.26645,                0.81946,                0.97216,                      1,                  0.995,                0.94007,                0.97216,                      1,                  0.995,                0.81713,                0.43128,                0.54866,                0.25973,                0.81017,              0.0010151,              0.0010151,              0.0010151
